,Synset,Tipo,Info
0,00001740-n,als:lemma,entitet
1,00001740-n,als:def,als:deajo qe është e perceptuar ose e njohur për vetekzistencen e saj te vecante. (e gjallë ose jo e gjallle )
2,00003553-n,als:lemma,e plote
3,00003553-n,als:lemma,i gjithë
4,00003553-n,als:lemma,njësi
5,00003553-n,als:def,als:denjë përmbledhje e pjeseve e cila shihet si një entitet i vetem
6,00003553-n,als:exe,als:exsa e madhe është si pjese e krahasuar me te gjithën?
7,00003553-n,als:exe,als:exskuadra është një njësi
8,00004475-n,als:lemma,organizëm
9,00004475-n,als:lemma,te qenit
10,00004475-n,als:def,als:dediçka qe jeton e cila ka (ose mund te zhvilloj) aftësime per te vepruar ose funksionuari ne mënyrë te pavarur
11,00006269-n,als:lemma,ekzistencë jete
12,00006269-n,als:def,als:detë jetojnë gjërat kolektivisht
13,00006269-n,als:exe,als:exoqeanet janë te përmbushura plot me ekzistencë jete
14,00006484-n,als:lemma,qelizë
15,00006484-n,als:def,als:de(biologji) njësia bazë funksionale dhe ndërtimore e gjithë organizmave ; qelizat mund të ekzistojnë si njësi të pavarura jete (psh : një qelizor) ose mund të krijojnë koloni ose inde si tek bimët e zhvilluara dhe kafshët
16,00007347-n,als:lemma,agjent i çështjeve gjyqësorë
17,00007347-n,als:lemma,çështje
18,00007347-n,als:lemma,zyrë e çështjeve gjyqësore
19,00007347-n,als:def,als:dendonjë entitet që shkakton zhvillimin e ngjarjeve
20,00007846-n,als:lemma,njeri
21,00007846-n,als:lemma,person
22,00007846-n,als:lemma,individ
23,00007846-n,als:lemma,dikush
24,00007846-n,als:lemma,ndokush
25,00007846-n,als:lemma,i vdekshëm
26,00007846-n,als:lemma,njerëzor
27,00007846-n,als:lemma,shpirt
28,00007846-n,als:def,als:detë qënurit njeri
29,00007846-n,als:exe,als:exkishte shumë punë për tu përballuar vetëm nga një njeri
30,00007739-v,als:lemma,kapsit sytë
31,00007739-v,als:lemma,shkelje syri
32,00007739-v,als:lemma,hap e mbyll sytë
33,00007739-v,als:def,als:debriefly shut the eyes
34,00007739-v,als:exe,als:exPrezantuesi i lajmeve duket sikur nuk i kapsit sytë asnjë herë
35,00009147-v,als:lemma,lëshoj
36,00009147-v,als:lemma,ndërrim i puplave
37,00009147-v,als:lemma,ndërron qimen
38,00009147-v,als:lemma,lëkurë gjarpri
39,00009147-v,als:lemma,ndërron qimen
40,00009147-v,als:def,"als:delloj floku , briri , lëkure, puple"
41,00009147-v,als:exe,als:exQenve të rrugës iu ndërrohet lëkura çdo pranverë
42,00010054-v,als:lemma,lëvizje e pavullnetshme
43,00010054-v,als:lemma,lëvizje refleksive
44,00010054-v,als:def,als:delëvizje ne mënyrë te pakontrolluar
45,00010241-v,als:lemma,të veprosh në mënyrë të pavullnetshme
46,00010241-v,als:lemma,të veprosh ne mënyrë refleksive
47,00010241-v,als:def,als:detë veprosh në një mënyrë të pakontrolluar
48,00010435-v,als:lemma,veprim
49,00010435-v,als:lemma,sjellje
50,00010435-v,als:lemma,bëj
51,00010435-v,als:def,als:detë sillesh ne një mënyrë të caktuar; shfaq një sjellje të caktuar
52,00010435-v,als:exe,als:exJu duhet të veproni si një i rritur
53,00010435-v,als:exe,als:exMos u sill si një budalla
54,00010435-v,als:exe,als:exçfarë e bëri atë që të zgjedh atë mënyrë zgjidhjeje ?
55,00010435-v,als:exe,"als:exQeni vertet vepron egersisht,por ai i ka frike njerëzit"
56,00012267-v,als:lemma,bëj
57,00012267-v,als:def,als:detë veprosh në një mënyrë te caktuar për të marrë (sigurosh) diçka
58,00012267-v,als:exe,als:exbëj miq
59,00012267-v,als:exe,als:exbëj armiq
60,00012613-v,als:lemma,ngricë
61,00012613-v,als:def,als:deKur papritur fillon te ftohet çdo gjë
62,00012613-v,als:exe,als:exAjo ngriu kur pa ish-bashkeshortin e saj
63,00015388-n,als:lemma,kafshë
64,00015388-n,als:lemma,bishë
65,00015388-n,als:lemma,shtazë
66,00015388-n,als:lemma,krijesë
67,00015388-n,als:lemma,fauna
68,00015388-n,als:def,als:denjë organizëm i gjallë i karakterizuar nga lëvizje të vullnetshme
69,00014034-v,als:lemma,dredh
70,00014034-v,als:lemma,lëkund
71,00014034-v,als:lemma,tund
72,00014034-v,als:lemma,dridhje
73,00014034-v,als:def,als:delëvizje me dridhje
74,00014034-v,als:exe,als:exduart e tij u lëkunden
75,00014201-v,als:lemma,drithmë
76,00014201-v,als:lemma,rrëqethje
77,00014201-v,als:def,"als:detë dridhesh , nga të ftohtit"
78,00014201-v,als:exe,als:exfëmijët po dridhen së ftohti--Ndiz ngrohjen !
79,00014405-v,als:lemma,pushim
80,00014405-v,als:lemma,çlodhje
81,00014405-v,als:lemma,qetësim
82,00014405-v,als:def,als:detë bësh pushim
83,00014549-v,als:lemma,të jesh aktiv
84,00014549-v,als:lemma,lëvizje
85,00014549-v,als:def,als:detë qënurit në gjendje veprimi
86,00014549-v,als:exe,als:exajo është gjithnjë në lëvizje
87,00014742-v,als:lemma,gjumë
88,00014742-v,als:lemma,fle
89,00014742-v,als:lemma,dremitje
90,00014742-v,als:lemma,të marrësh një sy gjumë
91,00014742-v,als:def,als:detë jesh në gjumë
92,00017222-n,als:lemma,bimë
93,00017222-n,als:lemma,flora
94,00017222-n,als:lemma,jetë bimore
95,00017222-n,als:def,als:deorganizëm i gjallë i cili nuk mund të lëviz apo zhvendoset
96,00002684-n,als:lemma,objekt
97,00002684-n,als:lemma,send
98,00002684-n,als:lemma,objekt fizik
99,00002684-n,als:def,als:denjë entitet i dukshëm dhe i prekshëm; entitet që mund të lëshoj një hije
100,00002684-n,als:exe,"als:exajo ishte e mbushur plot me raketa tenisi, topa dhe objekte të tjera"
101,00019128-n,als:lemma,objekt natyror
102,00019128-n,als:def,als:denjë objekt i krijuar nga natyra ; jo i bërë nga dora e njeriut
103,00020827-n,als:lemma,substancë
104,00020827-n,als:lemma,lëndë
105,00020827-n,als:lemma,material
106,00020827-n,als:lemma,përmbajtje
107,00020827-n,als:def,als:deajo që ka masë përmbajtje dhe zë hapësirë të caktuar
108,00020827-n,als:exe,als:exatomi është njësia më e vogël e pandashme e lëndës
109,00018526-v,als:lemma,zgjohem
110,00018526-v,als:lemma,i zgjuar ( nga gjumi)
111,00018526-v,als:lemma,zgjim
112,00018526-v,als:lemma,përmendem
113,00018526-v,als:lemma,ngjallem
114,00018526-v,als:lemma,çelen sytë
115,00018526-v,als:def,als:detë ndalesh së fjeturi
116,00018526-v,als:exe,als:exAjo u zgjua nga zhurma e alarmit të orës
117,00021265-n,als:lemma,ushqim
118,00021265-n,als:lemma,lëndë ushqyese
119,00021265-n,als:def,als:deçdo substancë që mund të metabolizohet nga një organizëm për t'i dhënë energji dhe për të ndërtuar
120,00019448-v,als:lemma,ndikoj
